# cycle	P.putida	Synechococcus	co2_e	C80aPHA_e	nh4_e	sucr_e
0.0	0.1	0.03	100.0	0.0	20.0	0.0
1.0	0.1	0.030067597977	99.99403000000001	0.0	19.9999907	0.00075
2.0	0.1	0.03013534827	100.22531993	0.02	19.914580222999998	0.0007516899494199999
3.0	0.1	0.030203251222	100.45717557	0.04	19.828893679	0.0007533837067499999
4.0	0.1	0.030271307178	100.68959818	0.06	19.742930446	0.00075508128056
5.0	0.1	0.030339516482	100.92258906	0.08	19.656689899999996	0.0007567826794600001
6.0	0.1	0.03040787948	101.15614947	0.1	19.570171418	0.00075848791206
7.0	0.1	0.030476396518	101.39028071	0.12	19.483374371	0.00076019698701
8.0	0.1	0.030545067943	101.62498405	0.14	19.396298134000002	0.00076190991295
9.0	0.1	0.030613894103	101.86026079	0.16	19.308942077	0.00076362669857
10.0	0.1	0.030682875346	102.09611222	0.18	19.221305568	0.0007653473525700001
11.0	0.1	0.030752012023	102.33253964	0.2	19.133387977	0.00076707188366
12.0	0.1	0.030821304483	102.56954433	0.22	19.04518867	0.0007688003005700001
13.0	0.1	0.030890753077	102.80712761	0.24	18.956707012	0.00077053261207
14.0	0.1	0.030960358157	103.04529078	0.26	18.867942367	0.00077226882693
15.0	0.1	0.031030120077	103.28403514	0.28	18.778894098	0.0007740089539400001
16.0	0.1	0.031100039188	103.523362	0.3	18.689561564	0.0007757530019100001
17.0	0.1	0.031170115846	103.76327268	0.32	18.599944127	0.0007775009797
18.0	0.1	0.031240350405	104.00376848	0.34	18.510041143	0.0007792528961399999
19.0	0.1	0.031310743221	104.24485074	0.36	18.419851969	0.00078100876011
20.0	0.1	0.031381294651	104.48652077	0.38	18.329375961	0.00078276858052
21.0	0.1	0.031452005052	104.72877989	0.4	18.238612472	0.00078453236626
22.0	0.1	0.031522874782	104.97162944	0.42	18.147560854	0.0007863001262899999
23.0	0.1	0.031593904201	105.21507073	0.44	18.056220459000002	0.0007880718695499999
24.0	0.1	0.031665093667	105.45910512	0.46	17.964590635	0.00078984760501
25.0	0.1	0.031736443543	105.70373392	0.48	17.87267073	0.00079162734168
26.0	0.1	0.031807954189	105.94895849	0.5	17.780460091	0.00079341108858
27.0	0.1	0.031879625967	106.19478017	0.52	17.687958063	0.0007951988547200001
28.0	0.1	0.031951459241	106.44120029	0.54	17.595163989	0.0007969906491799999
29.0	0.1	0.032023454375	106.68822021	0.56	17.50207721	0.00079878648103
30.0	0.1	0.032095611732	106.93584128	0.58	17.408697068	0.00080058635937
31.0	0.1	0.03216793168	107.18406485	0.6	17.315022901	0.0008023902933099999
32.0	0.1	0.032240414583	107.43289229	0.62	17.221054047	0.00080419829199
33.0	0.1	0.03231306081	107.68232495	0.64	17.126789842	0.0008060103645700001
34.0	0.1	0.032385870727	107.9323642	0.66	17.032229621	0.0008078265202399999
35.0	0.1	0.032458844706	108.18301140000001	0.68	16.937372715	0.00080964676819
36.0	0.1	0.032531983113	108.43426792	0.7	16.842218457999998	0.00081147111764
37.0	0.1	0.032605286321	108.68614088	0.72	16.746767699	0.0008132995778300001
38.0	0.1	0.032678754701	108.93864066	0.74	16.651022147	0.00081513215803
39.0	0.1	0.032752388625	109.19176866	0.76	16.554981136	0.00081696886753
40.0	0.1	0.032826188465	109.44552629	0.78	16.458644002	0.00081880971561
41.0	0.1	0.032900154596	109.69991498	0.8	16.362010076	0.00082065471162
42.0	0.1	0.032974287392	109.95493615	0.82	16.26507869	0.0008225038648899999
43.0	0.1	0.033048587229	110.21059122	0.84	16.167849174	0.0008243571847999999
44.0	0.1	0.033123054484	110.46688162	0.86	16.070320856	0.00082621468073
45.0	0.1	0.033197689533	110.72380878	0.88	15.972493063	0.0008280763620900001
46.0	0.1	0.033272492754	110.98137414	0.9	15.874365119	0.00082994223832
47.0	0.1	0.033347464528	111.23957914	0.92	15.77593635	0.0008318123188600001
48.0	0.1	0.033422605232	111.49842521	0.94	15.677206076	0.00083368661319
49.0	0.1	0.033497915249	111.7579138	0.96	15.578173618	0.0008355651307999999
50.0	0.1	0.033573394959	112.01804637	0.98	15.478838296	0.00083744788122
51.0	0.1	0.033649044745	112.27882435	1.0	15.379199427	0.0008393348739700001
52.0	0.1	0.033724864989	112.5402492	1.02	15.279256327	0.00084122611861
53.0	0.1	0.033800856078	112.80162138	1.04	15.179245872000001	0.0008431216247399999
54.0	0.1	0.033877018394	113.06274163	1.06	15.079235394000001	0.0008450214019400001
55.0	0.1	0.033953352324	113.32360938	1.08	14.979224892000001	0.00084692545984
56.0	0.1	0.034029858255	113.58422406	1.1	14.879214367000001	0.0008488338081
57.0	0.1	0.034106536574	113.8445851	1.12	14.779203817	0.0008507464563699999
58.0	0.1	0.03418338767	114.10469193	1.14	14.679193244	0.0008526634143500001
59.0	0.1	0.034260411931	114.36454399	1.16	14.579182647	0.0008545846917399999
60.0	0.1	0.034337609749	114.62414068	1.18	14.479172027	0.00085651029828
61.0	0.1	0.034414981514	114.88348145	1.2	14.379161382000001	0.00085844024372
62.0	0.1	0.034492527618	115.14256571	1.22	14.279150713	0.00086037453785
63.0	0.1	0.034570248454	115.40139288	1.24	14.179140020999998	0.0008623131904500001
64.0	0.1	0.034648144416	115.65996238	1.26	14.079129304	0.0008642562113500001
65.0	0.1	0.034726215898	115.91827364	1.28	13.979118563	0.0008662036104
66.0	0.1	0.034804463296	116.17632608	1.3	13.879107798	0.00086815539745
67.0	0.1	0.034882887006	116.43411909999999	1.32	13.779097009000001	0.0008701115824
68.0	0.1	0.034961487426	116.69165213	1.34	13.679086195	0.0008720721751599999
69.0	0.1	0.035040264953	116.94892457	1.36	13.579075357	0.0008740371856500001
70.0	0.1	0.035119219987	117.20593585	1.38	13.479064494000001	0.0008760066238300001
71.0	0.1	0.035198352928	117.46268537	1.4	13.379053607000001	0.00087798049968
72.0	0.1	0.035277664176	117.71917254	1.42	13.279042696	0.0008799588232
73.0	0.1	0.035357154134	117.97539677	1.44	13.17903176	0.0008819416043999999
74.0	0.1	0.035436823203	118.23135748	1.46	13.079020799	0.0008839288533400001
75.0	0.1	0.035516671788	118.48705406	1.48	12.979009814000001	0.0008859205800800001
76.0	0.1	0.035596700294	118.74248592	1.5	12.878998803	0.00088791679471
77.0	0.1	0.035676909124	118.99771962	1.52	12.778987768	0.00088991750734
78.0	0.1	0.035757298687	119.25268741	1.54	12.678976709	0.00089192272811
79.0	0.1	0.035837869389	119.50738868	1.56	12.578965624	0.0008939324671799999
80.0	0.1	0.035918621638	119.76182284	1.58	12.478954514000002	0.0008959467347200001
81.0	0.1	0.035999555843	120.01598928	1.6	12.378943379	0.0008979655409400001
82.0	0.1	0.036080672414	120.26988741	1.62	12.278932219000001	0.00089998889607
83.0	0.1	0.036161971763	120.52351661	1.64	12.178921034000002	0.00090201681035
84.0	0.1	0.0362434543	120.77687629	1.66	12.078909824	0.00090404929407
85.0	0.1	0.03632512044	121.02996583	1.68	11.978898589000002	0.00090608635751
86.0	0.1	0.036406970595	121.28278462	1.7	11.878887328	0.000908128011
87.0	0.1	0.03648900518	121.53533206	1.72	11.778876042	0.00091017426488
88.0	0.1	0.036571224611	121.78760753	1.74	11.67886473	0.00091222512951
89.0	0.1	0.036653629304	122.03961042	1.76	11.578853393	0.0009142806152799999
90.0	0.1	0.036736219677	122.29134012	1.78	11.478842031	0.00091634073261
91.0	0.1	0.036818996148	122.54279601	1.8	11.378830642	0.00091840549193
92.0	0.1	0.036901959136	122.79397748	1.82	11.278819228	0.0009204749037
93.0	0.1	0.036985109062	123.04488390000002	1.84	11.178807789	0.00092254897841
94.0	0.1	0.037068446347	123.29551465	1.86	11.078796322999999	0.00092462772656
95.0	0.1	0.037151971413	123.54586912	1.88	10.978784832	0.0009267111586799999
